ID,LAND_NR,Partei_NR,Partei_ABK,Name,TW_acc,TW_user,TW_id,TW_verif,gescraped?
810,3,1,CDU,"Connemann, Gitta",1,gitta_connemann,1.12575144520526E+018,1,ja
815,5,2,SPD,"Coße, Jürgen",1,juergencosse,161395160,1,ja
817,6,3,AfD,"Cotar, Joana Eleonora",1,JoanaCotar,8.14970546366612E+017,1,ja
824,5,4,FDP,"Cronenberg, Carl-Julius",1,cjcronenberg,1.32512697363146E+018,1,ja
825,11,3,AfD,"Curio, Dr. Gottfried",1,GottfriedCurio,8.48618993015501E+017,1,ja
829,11,1,CDU,"Czaja, Mario",1,MarioCzaja,115666099,1,ja
837,5,5,DIE LINKE,"Dagdelen, Sevim",1,SevimDagdelen,139407967,1,ja
840,5,6,GRÜNE,"Dahmen, Dr. Janosch",1,janoschdahmen,16697497,1,ja
843,5,2,SPD,"Daldrup, Bernhard",1,BernhardDaldrup,1.32901916312648E+018,2,ja
864,2,1,CDU,"de Vries, Christoph Bernhard",1,VriesChristoph,1.1939250694767E+018,2,ja
871,9,6,GRÜNE,"Deligöz, Ekin",1,ekindeligoez,22125770,1,ja
874,11,2,SPD,"Demir, Hakan",1,HakanDemirNK,2942564267,1,ja
888,8,6,GRÜNE,"Detzer, Dr. Sandra",1,detzer_sandra,7.97777115689132E+017,2,ja
893,15,2,SPD,"Diaby, Dr. Karamba",1,KarambaDiaby,316355056,1,ja
903,7,2,SPD,"Diedenhofen, Martin",1,MDiedenhofen,7.85136227775345E+017,1,ja
906,5,2,SPD,"Dieren, Jan Ulrich",1,JanUlrichDieren,1.32104347922988E+018,2,ja
914,14,3,AfD,"Dietz, Thomas",1,tommylukoil,1117821932,2,ja
917,6,2,SPD,"Dilcher, Esther",1,EstherDilcher,9.39092636165689E+017,2,ja
929,9,2,SPD,"Dittmar, Sabine",1,dittmarsabine,1872648764,2,ja
932,5,4,FDP,"Djir-Sarai, Bijan",1,DjirSarai,9.60463104537657E+017,1,ja
